name,severity,cloudProvider,targetNativeTypes,matcherTypes
VPC Subnets should not allow automatic public IP assignment,MEDIUM,AWS,subnet,"CLOUD, TERRAFORM, CLOUD_FORMATION"
IAM policy should not allow actions on all resources,MEDIUM,AWS,"inlinePolicy, customerManagedPolicy","CLOUD, TERRAFORM"
IAM Role should not be inactive for more than 90 days,LOW,AWS,role,CLOUD
CloudFormation stack should define a stack policy,MEDIUM,AWS,cloudformation#stack,"CLOUD, ANSIBLE, TERRAFORM"
CloudFormation stack termination protection should be enabled,MEDIUM,AWS,cloudformation#stack,CLOUD
EC2 Security Group should not allow outbound traffic to all IP addresses,INFORMATIONAL,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, CLOUD_FORMATION, TERRAFORM"
CloudFormation stack should send notifications to an SNS topic,LOW,AWS,cloudformation#stack,"CLOUD, CLOUD_FORMATION, ANSIBLE, TERRAFORM"
EC2 Security Group should restrict outbound traffic to specific ports,MEDIUM,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, TERRAFORM"
EC2 Security Group outbound rules should not allow all protocols,MEDIUM,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, TERRAFORM"
EC2 Security Group rules should have descriptions,INFORMATIONAL,AWS,securityGroup,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EC2 Security Group is not using the default configuration of AWS SageMaker Domain's EFS,INFORMATIONAL,AWS,securityGroup,CLOUD
EBS Volume Snapshot should be encrypted,MEDIUM,AWS,ec2#unencryptedsnapshot,"CLOUD, TERRAFORM"
EBS Snapshots Block Public Sharing should be enabled in all regions,MEDIUM,AWS,region,CLOUD
IAM Role should not be inactive for more than 365 days,MEDIUM,AWS,role,CLOUD
IAM Access Analyzer should be enabled,MEDIUM,AWS,region,CLOUD
X-Ray should be encrypted using a customer managed key,MEDIUM,AWS,region,CLOUD
Glue Data Catalog Metadata Encryption should be enabled,MEDIUM,AWS,glue#dataCatalog,"CLOUD, TERRAFORM"
Athena Workgroup configuration should be enforced,MEDIUM,AWS,athena#workgroup,CLOUD
AWS default EBS encryption should be enabled in the region,LOW,AWS,region,"CLOUD, TERRAFORM"
EC2 Security Group should not allow access to all ports,LOW,AWS,securityGroup,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EC2 Security Group inbound rules should not allow all protocols,LOW,AWS,securityGroup,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Network ACL should not allow all ports over TCP/UDP protocol,MEDIUM,AWS,networkAcl,"CLOUD, CLOUD_FORMATION"
VPC reject traffic Flow Logs should be enabled,LOW,AWS,vpc,"CLOUD, CLOUD_FORMATION, TERRAFORM"
VPC NACL should not allow unrestricted RDP access,MEDIUM,AWS,networkAcl,"CLOUD, TERRAFORM"
Network ACL should not allow unrestricted inbound traffic,MEDIUM,AWS,networkAcl,"CLOUD, TERRAFORM"
EC2 Route Table routing traffic to an internet gateway should not allow all IP addresses,MEDIUM,AWS,routetable,CLOUD
Default security group should have no rules configured,HIGH,AWS,securityGroup,"CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
Athena Workgroup logging should be enabled,LOW,AWS,athena#workgroup,CLOUD
IAM Resource Policy with 'Allow' effect does not have a condition from the listed conditions,INFORMATIONAL,AWS,resourcePolicy,CLOUD
Source AMI Snapshot should be encrypted,LOW,AWS,ami,"CLOUD, TERRAFORM"
CloudWatch Log Group should be encrypted using KMS,MEDIUM,AWS,logs#loggroup,"CLOUD, TERRAFORM"
CloudWatch Log Group retention period should be specified,MEDIUM,AWS,logs#loggroup,"CLOUD, ANSIBLE, TERRAFORM"
